posX,posY,depth,count
1793,457,2,11
44,480,2,11
1793,550,4,22
43,644,4,19
1793,708,4,27
44,860,2,7
1793,949,1,4
44,1022,2,8
43,1031,3,12
1793,1080,1,5
43,1111,3,17
44,562,2,9
44,1136,1,4
43,1155,2,10
44,1205,1,5
1793,106,4,18
1793,128,6,26
1793,139,7,32
1793,166,3,12
1793,191,5,23
1793,196,3,12
1793,368,4,20
1793,381,5,29
1793,419,5,22
1793,425,4,23
1793,457,2,11
1793,550,4,22
1793,708,4,27
1793,734,7,26
1793,761,6,36
1793,804,2,8
1793,944,2,8
1793,1080,1,5
1793,1254,2,9
43,1309,4,27
43,1313,4,28
43,1331,2,11
1793,1759,4,23
1793,1769,5,32
43,1770,9,44
1793,1807,2,8
1793,1947,5,22
1793,2130,2,9
1793,2193,6,23
1793,2193,6,23
1793,2195,3,17
1793,2226,2,11
1793,2295,4,22
1793,2295,4,22
1793,2312,4,22
1794,372,1,5
1793,804,2,8
1793,944,2,8
1794,2093,1,5
1793,2312,4,22
1793,2314,4,28
1793,2314,4,28
1793,2387,4,19
1793,2387,4,19
1793,2388,4,20
1793,2388,4,20
1793,2400,2,7
1793,2481,5,32
1793,2481,5,32
1793,2534,5,29
1794,164,1,5
1793,1511,2,7
1793,2534,5,29
1793,2596,1,4
1793,2627,2,11
1794,2705,1,4
1793,2744,2,7
1793,2833,4,20
1793,2833,4,20
1793,2854,2,8
1793,2990,4,23
1793,2990,4,23
1793,2998,3,14
1793,3125,2,8
1793,3143,3,18
1793,3202,3,12
1793,3385,1,3
1794,17,1,3
1794,17,1,3
1794,164,1,5
1794,272,2,11
1794,272,2,11
1794,323,2,7
1793,381,5,29
1793,419,5,22
1794,323,2,7
1794,372,1,5
1794,465,1,4
1793,734,7,26
1793,761,6,36
1793,814,4,26
1794,465,1,4
1794,678,1,5
1793,814,4,26
1793,949,1,4
1793,1254,2,9
1793,1334,3,16
43,1770,9,44
43,1781,2,8
43,1793,5,22
43,1862,4,21
43,1942,10,34
43,1960,5,26
43,2024,1,3
43,2083,6,32
43,2098,3,17
43,2154,2,8
43,2268,5,25
43,2273,5,33
43,2321,7,34
43,2335,5,26
43,2576,1,3
43,2590,1,3
43,2598,3,14
43,2715,2,10
43,2719,2,8
43,2735,2,7
43,2758,1,5
43,2759,3,17
43,2935,3,17
43,3094,1,5
43,3477,1,4
44,829,1,3
44,1435,1,3
44,1757,2,7
44,2435,2,9
44,2452,1,5
43,3493,3,14
1793,236,4,25
44,363,2,9
1793,755,5,30
1794,127,4,21
1793,477,5,29
1793,490,8,39
1793,549,6,27
1793,838,5,30
1794,74,6,34
1794,535,5,30
1794,566,5,24
1794,593,5,23
1794,599,4,28
1793,805,7,33
1794,819,3,13
1793,884,6,23
1793,893,7,30
44,919,1,5
1794,924,2,11
1794,929,3,17
1793,933,5,24
1794,1037,3,17
1794,1077,2,7
1794,1109,2,10
1794,1124,1,5
1793,1125,5,25
1793,1157,4,21
1793,1224,6,29
1793,1315,6,26
1793,1349,5,29
1793,1511,2,7
1793,1683,6,32
1794,678,1,5
1793,1334,3,16
1794,1769,1,3
43,1781,2,8
43,1793,5,22
43,1862,4,21
43,1942,10,34
43,1960,5,26
43,2024,1,3
43,2083,6,32
1794,2705,1,4
1793,3385,1,3
1794,2093,1,5
43,2098,3,17
43,2154,2,8
43,2268,5,25
43,2273,5,33
43,2321,7,34
43,2335,5,26
43,2576,1,3
43,2590,1,3
43,2598,3,14
43,2715,2,10
43,2719,2,8
43,2735,2,7
43,2758,1,5
43,2759,3,17
43,3094,1,5
43,3477,1,4
44,1757,2,7
44,2435,2,9
44,2452,1,5
43,2935,3,17
43,3460,2,11
43,3493,3,14
1793,236,4,25
1793,477,5,29
1793,755,5,30
1794,127,4,21
1793,490,8,39
1793,838,5,30
1794,74,6,34
43,85,4,19
43,88,10,29
43,110,5,33
43,204,6,24
43,429,6,28
1794,566,5,24
43,729,4,24
43,1031,3,18
43,1111,3,14
44,57,4,22
45,111,1,4
45,145,1,4
44,146,5,28
45,150,5,26
44,311,5,30
44,324,4,28
43,512,6,30
44,170,5,24
45,234,1,5
45,256,4,23
45,284,3,16
45,413,3,15
46,121,1,5
109,303,10,29
110,140,8,29
110,181,7,34
110,297,7,29
111,323,2,10
110,348,7,30
109,469,10,46
109,626,10,31
45,650,1,4
45,959,1,5
46,528,1,5
46,985,1,4
109,1095,9,46
110,1118,5,27
111,1176,1,5
45,1300,1,3
109,1653,8,41
45,1663,1,4
46,653,2,10
46,1018,2,11
46,1332,1,5
47,16,1,4
45,1552,1,4
46,488,2,10
46,707,2,10
45,1152,2,11
46,1265,2,7
45,1740,2,9
109,2671,8,34
109,2884,8,43
109,3093,7,26
110,2023,6,24
111,71,4,28
1859,166,9,41
1795,236,10,44
1859,513,9,37
1795,626,5,29
1795,628,5,32
1796,223,3,14
1859,738,9,46
1860,4,5,24
1860,140,5,31
1859,172,9,31
1860,275,5,22
1860,449,4,26
1859,569,10,45
1860,646,4,28
1860,796,2,10
1859,821,10,41
1796,947,2,7
1795,1013,5,29
1796,335,3,18
1859,1110,9,33
1860,1152,3,13
1858,1154,10,44
1858,1172,10,43
1858,1281,10,38
1796,1333,1,3
1860,1345,3,18
1859,1373,7,40
1795,1487,5,28
1796,1305,2,11
1796,1521,2,7
1858,1559,10,43
1796,1579,1,3
1858,1599,10,39
1859,1199,8,43
1859,1481,7,33
1859,1496,7,36
1861,131,1,5
1860,817,3,18
1861,322,2,11
110,427,5,21
109,737,10,29
109,909,9,40
110,1134,5,23
110,1212,5,30
110,1524,4,27
111,398,2,11
111,606,2,9
111,785,2,8
111,1274,1,5
111,1374,1,3
109,1502,9,38
110,1238,6,33
1859,1537,8,28
109,1551,9,40
110,1026,6,34
1859,1622,7,41
110,1624,3,16
110,1691,5,27
111,143,5,27
111,1245,2,10
109,1259,9,35
109,1314,9,41
112,42,1,4
111,158,5,31
111,510,3,16
111,517,3,15
111,1022,3,14
109,1057,10,35
109,1420,9,36
110,42,10,35
111,392,3,17
110,414,9,36
111,602,3,18
111,720,3,16
111,799,4,18
111,1577,1,3
112,62,2,7
112,109,1,4
110,871,7,38
112,791,1,5
112,1002,1,3
109,1440,10,29
111,1454,3,12
110,1588,6,24
109,2387,10,32
109,2550,10,46
111,2528,3,12
111,2856,2,10
111,2927,1,3
109,3147,8,28
110,3201,5,25
1795,37,1,5
1795,70,2,8
1795,210,4,26
1795,274,3,18
1795,276,5,23
1795,369,2,9
1795,392,1,5
1795,537,1,4
1795,543,2,9
1795,718,3,16
1795,889,2,8
1795,912,4,27
1795,953,2,8
1795,1226,3,17
1795,1246,3,18
1795,1281,1,5
1795,1299,2,9
1795,1397,2,8
1795,1403,4,27
1795,1512,2,9
1795,3050,2,9
1796,337,1,4
1795,1451,3,15
1795,1676,1,3
1795,1814,5,33
1795,1888,4,24
1795,1892,2,9
1795,1907,2,8
1795,1952,3,12
1795,1998,2,7
1795,2015,3,17
1795,2038,4,18
1795,2082,4,26
1795,2089,5,27
1795,2172,2,8
1795,2341,1,4
1795,2461,1,3
1795,2486,2,9
1795,2491,2,11
1795,2509,3,15
1795,2523,1,3
1795,2564,1,3
1795,2610,2,9
1795,2673,1,5
1795,2700,2,10
1795,2797,3,17
1795,2837,2,11
1795,2946,2,8
1795,3205,1,4
1795,3412,1,5
1796,178,2,8
1796,555,2,7
45,665,1,3
1796,803,1,5
1796,980,1,5
45,1210,1,4
1796,1352,1,3
1796,1458,1,4
1795,1620,4,18
1859,1719,6,37
45,1812,4,27
45,1827,3,16
46,1759,1,3
45,1826,9,29
1799,1830,1,4
1796,1831,1,5
1799,1850,10,46
45,1867,6,34
1799,1886,5,28
1799,1947,3,15
45,1960,8,32
1799,1976,6,37
45,1982,4,18
1799,1983,5,21
1799,2031,7,40
45,2063,3,17
45,2123,2,8
45,2158,1,4
1799,2175,2,9
1799,2289,1,3
45,2304,3,16
45,2355,3,17
45,2398,4,22
1799,2411,6,29
45,2434,3,12
45,2554,5,31
1799,2575,1,5
1799,2649,3,15
45,2696,2,8
45,2722,2,8
45,2723,3,15
1799,2731,3,12
1799,2735,2,9
1799,2777,3,14
1799,2782,4,28
1799,2827,3,13
1799,2872,1,4
1799,2897,2,9
45,2924,4,21
45,2949,2,7
45,2991,1,4
1799,2999,4,21
45,3068,1,5
1799,3081,3,18
45,3088,3,18
1799,3088,1,5
1799,3191,3,12
45,3195,3,15
1799,3240,2,11
1799,3283,1,3
1799,3326,2,8
1799,3340,2,10
1800,412,2,11
1800,3082,1,3
1799,3311,4,27
1799,3468,2,7
1800,190,2,9
49,748,4,26
49,809,4,28
50,719,2,10
49,810,4,20
50,254,2,8
50,842,2,7
50,880,1,4
49,981,5,27
1800,1381,2,10
50,1445,1,4
48,1706,3,13
49,190,3,16
48,404,4,28
1793,814,4,25
39,830,3,12
39,841,2,10
39,858,3,13
39,947,1,4
39,966,3,18
39,1015,3,16
39,1042,2,9
43,1770,9,43
43,1781,2,8
43,1793,5,23
43,1862,4,19
43,1960,5,27
43,2024,1,3
43,2098,3,17
43,2154,2,11
1799,2256,5,23
43,2268,5,27
43,2273,5,22
1799,2291,7,34
43,2321,7,32
1799,2405,6,34
1799,2438,5,30
1799,2445,6,35
43,2576,1,3
43,2590,1,4
43,2715,2,8
43,2758,1,4
1799,2923,5,30
43,3094,1,5
44,1757,2,8
44,1960,2,10
44,2214,2,7
44,2381,2,11
44,2452,1,3
44,2474,2,11
44,2579,2,11
44,2587,1,3
43,2719,2,7
43,2735,2,11
1799,3100,5,23
1799,3163,5,33
1799,3417,3,15
1800,2437,2,7
1799,2805,5,27
1800,2445,2,8
1800,2811,2,7
1799,3164,5,28
1800,3190,1,5
1801,1933,1,3
1799,3297,6,28
1800,3302,2,9
1800,3390,1,5
1799,3447,3,16
1801,1971,1,4
1800,2166,3,17
1799,2452,6,36
1799,2467,6,26
1799,2576,6,29
1799,3117,6,28
1800,2143,3,18
1800,2882,3,17
1800,3271,3,15
1864,281,10,34
1864,631,10,32
1864,639,10,47
1864,665,9,33
1864,699,10,41
1864,785,10,38
1864,960,9,44
1860,1446,9,36
1860,1500,9,42
1860,1506,9,43
1861,250,8,33
1861,1510,4,23
1862,481,3,13
1861,815,7,41
1862,396,3,13
1861,577,7,40
1861,788,8,42
1861,865,4,27
1861,890,6,25
1862,912,2,11
1861,1571,4,23
1862,434,5,33
1862,505,4,22
1862,949,2,9
1862,1153,2,11
1860,1425,10,45
1860,1630,9,41
1862,1270,2,7
1861,1366,6,29
1862,1734,1,5
1863,185,1,5
1863,297,1,5
1862,1004,3,16
1861,1391,7,37
1861,1480,6,30
1863,325,1,4
47,1540,2,9
47,1600,3,12
47,1611,1,3
47,1613,1,4
48,521,2,7
48,606,1,4
48,1418,1,4
110,1745,10,34
111,2387,10,30
111,2752,10,47
112,3,8,35
47,78,1,4
47,169,4,23
47,181,3,17
111,700,10,37
112,786,6,26
112,2926,6,29
111,2972,10,47
113,326,3,12
112,766,7,33
113,600,3,17
113,1052,3,12
111,1151,9,45
113,1231,2,11
111,1310,9,38
113,1301,1,5
111,1335,9,45
112,16,8,27
113,146,4,21
113,496,3,12
113,576,3,15
1864,1763,10,42
1864,1769,10,33
47,1783,1,4
1864,1786,8,42
47,1833,9,41
47,1849,6,27
113,1853,4,27
47,1862,6,33
47,1959,6,37
1864,1983,8,27
112,2007,9,40
1864,2020,8,36
1865,1930,3,14
47,2048,2,8
47,2182,4,18
47,2209,1,4
1865,2229,4,19
47,2300,1,3
112,2324,7,37
112,2328,7,33
113,1952,4,27
1864,2360,7,34
113,2433,3,13
1864,2459,8,39
112,2461,7,36
47,2494,1,3
1865,2586,4,26
1864,2708,6,34
1864,2716,6,29
1865,2765,3,12
47,2851,1,5
1864,2922,6,29
47,2955,2,8
47,2958,2,9
47,2964,2,10
1864,3011,5,26
112,3018,5,23
47,3020,1,3
47,3022,1,4
48,1916,2,8
47,2003,9,42
48,2370,2,7
48,2463,1,3
48,2508,2,10
48,2926,1,4
49,2179,3,15
113,3049,1,5
1864,3140,5,25
1865,3148,2,8
47,3183,2,9
48,2125,2,8
49,2322,2,11
47,2424,3,15
48,2626,4,27
48,2704,2,8
1865,3391,1,5
112,3409,5,29
113,1894,5,32
113,2095,4,23
113,2395,3,13
111,2653,10,30
112,2441,8,31
112,2709,7,28
113,2738,2,8
112,2763,6,33
113,2946,2,7
114,2098,1,5
111,3112,10,34
112,3158,6,33
113,2962,3,12
113,3236,1,4
113,3249,2,7
112,3298,6,37
1797,41,2,7
1797,115,10,41
1797,134,9,46
1797,224,5,28
1797,233,1,4
1797,236,3,14
1797,350,4,27
1797,353,5,25
1797,387,4,23
1797,451,4,27
1797,888,1,4
1798,148,3,12
1798,510,1,5
1798,802,1,5
1797,974,1,4
1797,1146,1,5
1798,57,2,7
1798,90,2,11
1798,372,1,4
1798,752,1,3
1797,1353,2,8
1798,1392,1,5
1797,1431,2,8
1797,1679,1,5
1798,415,3,14
1798,670,3,15
1798,1432,2,9
1798,1559,1,3
1799,65,2,8
47,119,5,29
47,166,10,38
47,216,4,27
48,15,4,24
49,203,2,11
49,472,1,4
47,632,5,27
47,1491,4,23
48,467,3,18
47,971,4,20
48,451,3,17
48,910,2,7
48,1551,2,9
49,486,1,4
48,636,2,8
48,940,2,7
48,1372,2,8
47,1518,5,30
1797,1738,3,16
1797,1779,8,42
1797,1798,10,32
1797,1869,5,28
1862,1949,5,33
1797,1987,5,32
1862,2007,5,32
1861,2201,9,40
1797,2268,1,3
1861,2377,10,46
1797,2541,1,5
1861,2553,9,40
1861,2670,9,44
1861,2679,8,42
1862,2896,3,18
1861,2960,8,40
1861,3012,7,41
1861,3083,7,37
1862,2352,4,21
1862,2770,5,31
1862,2945,6,32
1862,3048,4,25
45,3450,1,3
46,1873,1,5
1858,3047,10,32
1859,1876,9,28
46,1984,1,5
1859,2206,8,30
110,2686,5,30
1859,2732,6,36
110,2809,5,23
110,2944,3,15
111,1892,4,21
111,2542,2,8
109,2972,8,32
1859,3347,5,24
1860,1901,3,18
109,3398,7,33
111,1975,4,24
111,2428,2,10
110,2619,5,32
109,2682,9,32
110,1781,7,39
116,2267,10,42
116,2751,9,42
116,2854,9,30
116,2871,9,34
117,2143,6,31
116,3247,8,30
116,3310,7,35
116,3493,6,26
117,1976,7,26
117,2026,7,30
118,2130,2,9
117,2882,4,21
116,3186,9,29
116,3349,7,26
118,1910,3,17
117,1985,7,31
117,2466,6,33
118,1941,3,12
117,2719,6,23
118,2785,1,3
1859,2990,5,28
1860,1790,3,15
1859,1808,9,39
1860,2132,3,17
1859,2166,10,39
1859,2273,10,37
1859,2398,9,40
1860,2411,2,7
1860,2415,3,14
1860,2582,2,7
1860,2638,3,13
1860,2646,3,18
1859,2665,8,35
1860,2862,3,15
1859,3036,6,37
1860,2777,3,12
116,3242,9,30
117,2859,5,33
116,3171,10,42
116,3288,9,30
117,3361,4,20
118,20,4,19
117,54,8,28
43,74,8,41
43,85,4,19
43,88,10,29
118,2619,2,7
118,2964,1,3
118,3214,1,5
117,3218,5,22
118,3397,1,3
1858,3436,10,33
1859,3149,6,33
1859,3171,7,33
1860,3023,2,9
110,3208,4,20
111,2684,2,10
111,2926,1,4
111,3066,1,4
45,3150,2,9
46,2397,1,5
45,3442,2,10
1795,1921,3,14
1795,2088,6,32
1795,2388,4,23
1795,3139,3,18
1796,1775,3,13
1795,1983,5,26
1795,2189,4,20
1795,2425,4,27
1795,2851,4,23
1795,3361,2,8
1796,2143,2,9
1796,2282,1,4
1795,3399,2,8
1796,2067,3,13
1796,2417,2,9
1796,2461,2,7
1795,2494,5,30
1795,2527,5,24
1795,2628,5,27
1795,2647,5,27
1796,2695,3,17
1795,2869,5,26
1796,2966,1,4
1795,3471,4,22
1796,1869,3,17
1796,1874,3,14
1860,3292,2,7
1860,3352,2,10
1861,1896,1,5
1796,2009,1,5
1796,2169,3,18
1796,2696,1,4
1796,3191,2,11
1796,3195,2,10
1860,3376,2,7
1796,3391,1,4
1865,3381,10,43
1867,2641,5,27
1867,2667,5,26
1867,2734,4,28
1868,1886,2,11
1866,2078,10,34
1868,1879,3,12
1866,1911,10,38
117,1956,9,37
118,2089,4,20
117,2113,8,29
1867,2140,7,35
1866,2247,10,29
1867,2001,8,32
1868,2211,1,3
1867,2451,6,23
1868,2451,2,7
117,2494,7,35
118,1839,5,26
118,2380,4,22
1868,2551,2,10
1867,2683,5,30
117,2782,8,27
1866,2921,10,42
1866,3223,8,37
1867,2111,8,42
1867,2353,7,36
1867,2593,6,35
1866,2798,10,34
117,2836,4,20
117,2932,6,31
117,2948,7,27
117,2991,6,26
1867,3017,4,18
1867,3068,5,27
117,3136,5,27
117,3181,5,22
1867,3182,5,22
1867,3254,4,21
1868,1867,4,22
1868,2573,2,7
1868,2634,1,4
116,3209,10,36
117,3309,5,32
116,3335,9,44
118,2756,3,17
117,3370,6,23
118,3025,3,18
119,1875,1,4
117,1964,9,41
119,2090,1,4
118,2441,4,19
117,2506,8,31
117,2563,8,32
117,2663,8,34
118,3139,3,16
118,3142,3,17
119,1907,1,3
119,2020,1,3
1866,634,10,33
1866,1134,9,29
1866,1561,8,38
1866,1631,8,30
1866,1663,8,32
1867,409,7,34
1867,779,7,40
1867,882,5,26
1867,1202,3,16
1868,47,3,15
1868,87,3,16
1868,606,4,18
1868,645,2,11
1867,649,8,28
1868,808,2,8
1868,930,3,12
1868,972,3,15
1868,1671,1,5
1866,1690,8,34
1868,1313,1,4
1868,2611,1,5
1869,132,1,5
43,145,3,12
43,279,1,4
